Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,53.1,0.0,0,0.0,0.0,100
2,52.46,5.92,966420,7632.24,27476.06,100
3,51.6,9.53,2132715,24475.22,60634.73,100
4,52.01,6.45,1539135,36630.44,43758.79,100
5,52.04,5.96,1512225,48573.14,42993.72,100
6,52.22,4.69,1166100,57782.34,33153.12,100
7,52.59,2.77,451035,61344.36,12823.27,100
8,52.67,2.0,132990,62394.64,3781.01,100
9,52.67,1.69,119730,63340.2,3404.01,100
10,52.97,0.15,195,63341.74,5.54,100
11,52.65,2.21,235755,65203.6,6702.69,100
12,52.64,2.05,136890,66284.68,3891.9,100
13,52.7,1.69,50700,66685.08,1441.43,100
14,52.76,1.33,61620,67171.72,1751.91,100
15,52.78,1.26,78390,67790.8,2228.68,100
16,52.79,1.21,41535,68118.82,1180.88,100
17,52.78,1.26,48555,68502.28,1380.46,100
18,52.8,1.19,33540,68767.16,953.58,100
19,52.81,1.15,36855,69058.23,1047.82,100
20,52.8,1.17,60060,69532.55,1707.55,100
21,52.76,1.4,95355,70285.61,2711.02,100
22,52.76,1.5,83265,70943.19,2367.28,100
23,52.98,0.25,195,70944.73,5.54,100
24,52.66,3.33,963690,78555.41,27398.45,100
25,52.59,2.79,449085,82102.02,12767.82,100
26,52.61,2.27,206310,83731.34,5865.55,100
27,52.68,1.75,12480,83829.91,354.83,100
28,52.71,1.65,69225,84376.61,1968.13,100
29,52.71,1.61,148005,85545.47,4207.89,100
30,52.7,1.67,75465,86141.45,2145.52,100
31,52.71,1.61,74295,86728.19,2112.27,100
32,52.72,1.52,71175,87290.29,2023.57,100
33,52.96,0.0,585,87294.91,16.62,100
34,52.65,2.05,252135,89286.13,7168.39,100
35,52.24,4.47,781950,95461.52,22231.43,100
36,52.82,0.78,390,95464.6,11.08,100
37,52.81,0.88,4095,95496.95,116.44,100
38,52.8,1.0,116220,96414.79,3304.24,100
39,52.73,1.52,77220,97024.63,2195.44,100
40,52.76,1.2,81900,97671.43,2328.47,100
