Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,53.08,0.0,0,0.0,0.0,100
2,53.07,0.0,0,0.0,0.0,100
3,53.07,0.0,0,0.0,0.0,100
4,53.07,0.0,0,0.0,0.0,100
5,53.03,0.68,79365,626.78,2256.41,100
6,53.01,0.33,195,628.32,5.54,100
7,53.01,0.33,390,631.4,11.09,100
8,52.95,0.83,390,634.48,11.09,100
9,52.97,0.75,390,637.56,11.09,100
10,52.95,0.78,585,642.18,16.63,100
11,52.92,1.03,780,648.34,22.18,100
12,52.91,1.11,780,654.5,22.18,100
13,52.89,1.31,975,662.2,27.72,100
14,52.88,1.25,975,669.9,27.72,100
15,52.85,1.41,1365,680.68,38.81,100
16,52.83,1.29,975,688.38,27.72,100
17,52.8,1.72,1170,697.62,33.26,100
18,52.78,1.53,1560,709.94,44.35,100
19,52.74,1.92,1560,722.26,44.35,100
20,52.69,2.34,1755,736.12,49.9,100
21,52.69,2.33,2730,757.68,77.62,100
22,52.64,2.76,2925,780.78,83.16,100
23,52.79,1.8,1560,793.1,44.35,100
24,53.02,0.0,975,800.8,27.72,100
25,53.0,0.0,585,805.42,16.63,100
26,53.02,0.0,195,806.96,5.54,100
27,53.03,0.0,1560,819.28,44.35,100
28,52.93,0.62,390,822.36,11.09,100
29,52.89,0.82,780,828.52,22.18,100
30,52.85,1.13,780,834.68,22.18,100
31,52.84,1.19,780,840.84,22.18,100
32,52.77,1.69,1170,850.08,33.26,100
33,52.74,1.94,1365,860.86,38.81,100
34,52.75,1.75,1170,870.1,33.26,100
35,52.72,2.11,2340,888.58,66.53,100
36,52.71,1.97,1560,900.9,44.35,100
37,52.68,2.18,1755,914.76,49.9,100
38,52.86,0.72,1170,924.0,33.26,100
39,52.92,0.56,975,931.7,27.72,100
40,52.87,0.83,585,936.32,16.63,100
