Time(sec),Voltage,Current,RPM,Distance,Velocity
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
1,39.0,0.0,0.0,0.0,0.0
