Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.29,3.09,1562340,12338.48,44418.53,100
2,52.32,2.79,324480,14901.04,9225.21,100
3,52.63,0.99,1755,14914.9,49.9,100
4,52.38,1.69,199485,16490.32,5671.51,100
5,52.37,2.66,106275,17329.62,3021.48,100
6,52.62,1.08,780,17335.78,22.18,100
7,52.79,0.0,390,17338.86,11.09,100
8,51.77,6.77,1211340,26905.34,34439.33,100
9,51.7,6.67,1804140,41153.42,51293.09,100
10,52.47,2.2,242385,43067.64,6891.19,100
11,52.38,2.57,321165,45604.02,9130.96,100
12,52.22,3.66,1147185,54663.84,32615.35,100
13,51.85,5.23,1443975,66067.54,41053.32,100
14,52.29,2.95,748410,71978.06,21277.88,100
15,51.18,10.97,832650,78553.86,23672.87,100
16,52.6,2.7,546000,82865.86,15523.2,100
17,52.72,0.49,24765,83061.44,704.08,100
18,52.09,4.21,899145,90162.38,25563.38,100
19,52.12,3.81,580905,94750.03,16515.56,100
20,52.16,3.55,271830,96896.79,7728.33,100
21,52.71,0.3,2730,96918.35,77.62,100
22,51.06,10.39,1974960,112515.47,56149.62,100
23,51.16,9.44,1016340,120541.95,28895.32,100
24,52.26,2.7,465660,124219.47,13239.08,100
25,52.27,5.74,232635,126056.69,6613.99,100
26,52.72,0.0,390,126059.77,11.08,100
27,52.73,0.0,73125,126637.27,2079.0,100
28,52.49,1.97,21060,126803.59,598.75,100
29,52.76,0.0,390,126806.66,11.08,100
30,52.77,0.0,390,126809.74,11.08,100
31,52.78,0.0,720330,132498.5,20479.53,100
32,49.87,17.78,2144025,149430.8,60956.27,100
33,50.92,11.82,1013220,157432.64,28806.64,100
34,51.49,5.61,1157325,166572.55,32903.66,100
35,52.38,5.59,568425,171061.64,16160.74,100
36,52.28,5.36,456105,174663.7,12967.42,100
37,51.35,11.07,467415,178355.08,13288.95,100
