Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.57,0.12,1765920,13946.24,50206.46,100
2,51.28,9.83,560235,18370.66,15927.91,100
3,52.59,0.0,305565,20783.84,8687.45,100
4,51.09,12.82,467805,24478.3,13300.06,100
5,52.58,0.0,390,24481.38,11.09,100
6,52.0,7.19,1451190,35942.06,41258.45,100
7,48.84,23.29,2237820,53615.1,63622.94,100
8,49.79,17.3,1624545,66444.84,46187.07,100
9,51.57,5.74,1579305,78917.3,44900.86,100
10,50.88,9.66,1931280,94169.46,54907.76,100
11,52.21,3.25,169650,95509.26,4823.27,100
12,52.49,0.0,585,95513.88,16.62,100
13,52.49,0.31,390,95516.95,11.08,100
14,50.07,3.86,809640,101911.03,23018.68,100
15,49.78,19.15,818220,108372.88,23262.64,100
16,50.67,11.09,1967355,123909.94,55933.43,100
17,50.99,8.98,1708590,137403.42,48576.54,100
18,51.65,4.83,569400,141900.22,16188.47,100
19,52.46,0.19,585,141904.84,16.65,100
20,52.5,0.0,585,141909.47,16.65,100
21,52.53,0.0,585,141914.09,16.65,100
22,51.82,8.15,1105455,150644.36,31428.96,100
23,49.69,17.77,2036190,166725.05,57890.48,100
24,51.28,7.31,1069185,175168.86,30397.72,100
25,49.47,21.01,1346085,185799.48,38270.25,100
26,52.4,0.22,195,185801.03,5.57,100
27,52.43,0.18,0,185801.03,0.0,100
28,52.47,0.05,0,185801.03,0.0,100
29,52.51,0.0,0,185801.03,0.0,100
30,52.51,0.0,0,185801.03,0.0,100
31,52.54,0.0,0,185801.03,0.0,100
32,52.54,0.0,0,185801.03,0.0,100
33,52.56,0.0,0,185801.03,0.0,100
34,52.57,0.0,0,185801.03,0.0,100
35,52.58,0.0,0,185801.03,0.0,100
36,52.59,0.0,0,185801.03,0.0,100
37,52.6,0.0,0,185801.03,0.0,100
38,52.61,0.0,0,185801.03,0.0,100
