Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,49.18,16.77,5165355,40793.06,146855.02,100
2,49.12,17.99,2300805,58963.52,65413.66,100
3,49.96,17.66,1408095,70083.86,40033.22,100
4,50.37,16.55,1001130,77990.22,28462.89,100
5,52.54,2.95,487500,81840.22,13860.0,100
6,52.69,0.0,195,81841.76,5.54,100
7,52.72,0.0,0,81841.76,0.0,100
8,52.74,0.0,0,81841.76,0.0,100
9,52.74,0.0,0,81841.76,0.0,100
10,52.78,0.0,0,81841.76,0.0,100
11,52.78,0.0,0,81841.76,0.0,100
12,52.8,0.0,0,81841.76,0.0,100
13,52.8,0.0,0,81841.76,0.0,100
14,52.8,0.0,0,81841.76,0.0,100
15,52.82,0.0,0,81841.76,0.0,100
