Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,53.06,0.0,0,0.0,0.0,100
2,53.07,0.0,0,0.0,0.0,100
3,53.06,0.0,0,0.0,0.0,100
4,53.03,0.0,0,0.0,0.0,100
5,53.05,0.0,0,0.0,0.0,100
6,53.05,0.0,0,0.0,0.0,100
7,53.05,0.0,0,0.0,0.0,100
8,53.05,0.0,0,0.0,0.0,100
9,52.76,2.71,7410,58.52,210.67,100
10,52.72,3.13,1365,69.3,38.81,100
11,53.0,0.39,975,77.0,27.72,100
12,53.04,0.0,975,84.7,27.72,100
13,51.82,11.42,3705,113.96,105.34,100
14,53.02,0.06,1170,123.2,33.26,100
15,53.02,0.0,780,129.36,22.18,100
16,52.35,7.25,3315,155.54,94.25,100
17,52.99,0.73,1560,167.86,44.35,100
18,53.01,0.0,975,175.56,27.72,100
19,52.69,4.32,1950,190.96,55.44,100
20,52.83,2.05,1755,204.82,49.9,100
21,53.0,0.0,1170,214.06,33.26,100
22,52.13,4.34,1365,224.84,38.81,100
23,52.56,3.44,1950,240.24,55.44,100
24,52.98,0.04,1365,251.02,38.81,100
25,53.0,0.0,975,258.72,27.72,100
26,52.74,3.01,2340,277.2,66.53,100
27,52.45,4.86,1950,292.6,55.44,100
28,52.37,4.52,2145,309.54,60.98,100
29,52.96,0.06,1755,323.4,49.9,100
30,52.97,0.0,975,331.1,27.72,100
31,52.99,0.0,585,335.72,16.63,100
32,52.86,2.71,1365,346.5,38.81,100
33,52.79,1.15,975,354.2,27.72,100
34,52.71,2.57,975,361.9,27.72,100
35,52.63,2.85,1170,371.14,33.26,100
36,52.22,7.81,1755,385.0,49.9,100
37,52.63,2.18,1950,400.4,55.44,100
38,52.72,1.81,1950,415.8,55.44,100
39,52.55,2.61,1950,431.2,55.44,100
40,52.72,1.69,2145,448.14,60.98,100
