Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.7,0.22,580710,4586.12,16510.03,100
2,52.02,4.19,994890,12443.2,28285.49,100
3,52.16,3.28,535275,16670.5,15218.28,100
4,52.15,2.96,356655,19487.16,10139.98,100
5,52.31,2.4,89895,20197.1,2555.78,100
6,52.18,3.53,964470,27813.94,27420.62,100
7,52.15,5.8,838110,34432.86,23828.11,100
8,52.65,0.0,390,34435.94,11.08,100
9,52.69,0.0,390,34439.02,11.08,100
10,52.71,0.0,390,34442.09,11.08,100
11,51.08,11.97,1633905,47345.75,46453.18,100
12,51.0,4.39,990990,55172.04,28174.61,100
13,52.1,3.37,744315,61050.21,21161.45,100
14,51.66,21.8,1420380,72267.58,40382.51,100
15,52.61,0.34,390,72270.66,11.08,100
16,52.65,0.0,390,72273.73,11.08,100
17,52.61,1.67,1128660,81187.26,32088.68,100
18,50.16,15.32,1394640,92201.34,39650.68,100
19,52.58,0.24,390,92204.41,11.08,100
20,52.63,0.0,390,92207.49,11.08,100
21,50.92,11.49,873795,99108.23,24842.67,100
22,52.61,0.25,2145,99125.17,60.97,100
23,52.38,1.78,206310,100754.49,5865.55,100
24,52.06,3.69,649155,105881.15,18455.96,100
25,52.05,3.69,645645,110980.09,18356.18,100
26,52.08,3.45,426855,114351.15,12135.83,100
27,52.1,3.37,382590,117372.63,10877.32,100
28,52.14,3.15,255645,119391.56,7268.17,100
29,52.15,3.03,214110,121082.48,6087.32,100
30,52.15,3.02,99060,121864.8,2816.35,100
31,52.65,0.08,390,121867.88,11.08,100
32,52.67,0.0,390,121870.96,11.08,100
33,52.67,0.0,390,121874.04,11.08,100
34,52.69,0.0,390,121877.12,11.08,100
35,51.95,3.16,1451385,133339.34,41264.02,100
36,51.96,4.44,1484340,145061.83,42200.95,100
37,51.53,8.51,1806480,159328.39,51359.62,100
38,52.19,5.53,1137825,168314.3,32349.26,100
39,50.64,12.11,2055495,184547.44,58439.3,100
40,52.34,3.69,292890,186860.52,8327.08,100
