Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.42,3.43,1600950,12643.4,45516.24,100
2,52.46,2.32,273780,14805.56,7783.78,100
3,52.73,1.16,29055,15035.02,826.06,100
4,52.75,1.1,28665,15261.4,814.97,100
5,52.91,0.23,195,15262.94,5.54,100
6,52.63,1.93,123825,16240.84,3520.44,100
7,52.93,0.16,195,16242.38,5.54,100
8,52.94,0.0,195,16243.92,5.54,100
9,52.96,0.06,195,16245.46,5.54,100
10,52.92,0.61,268320,18364.5,7628.54,100
11,52.73,1.57,91455,19086.76,2600.14,100
12,52.63,1.93,175110,20469.68,4978.51,100
13,52.65,1.74,131625,21509.18,3742.2,100
14,52.65,1.68,105690,22343.86,3004.85,100
15,52.67,1.61,104520,23169.3,2971.58,100
16,52.68,1.55,99255,23953.16,2821.89,100
17,52.69,1.47,79365,24579.94,2256.41,100
18,52.71,1.37,132015,25622.52,3753.29,100
19,52.71,1.37,66690,26149.2,1896.05,100
20,52.71,1.42,70785,26708.22,2012.47,100
21,52.72,1.32,52065,27119.4,1480.25,100
22,52.73,1.27,42315,27453.58,1203.05,100
23,52.72,1.38,69030,27998.74,1962.58,100
24,52.71,1.37,81315,28640.92,2311.85,100
25,52.74,1.26,50310,29038.24,1430.35,100
26,52.81,0.87,195,29039.78,5.54,100
27,52.79,0.9,4680,29076.74,133.06,100
28,52.79,0.98,40560,29397.06,1153.15,100
29,52.77,1.13,65520,29914.5,1862.78,100
30,52.66,1.82,272220,32064.34,7739.42,100
31,52.6,2.12,292890,34377.41,8327.08,100
32,52.6,2.11,349830,37140.18,9945.94,100
33,52.6,2.0,270270,39274.62,7683.99,100
34,52.76,1.19,36075,39559.52,1025.63,100
35,52.67,1.77,139425,40660.62,3963.97,100
36,52.53,2.52,266955,42768.88,7589.74,100
37,52.56,2.28,219180,44499.84,6231.46,100
38,52.6,2.09,117000,45423.84,3326.4,100
