Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.31,4.79,309075,2440.9,8787.24,100
2,52.76,1.29,345150,5166.7,9812.88,100
3,52.55,2.08,282360,7396.62,8027.71,100
4,52.57,1.89,149565,8577.8,4252.25,100
5,52.6,1.74,123630,9554.16,3514.9,100
6,52.63,1.73,227370,11349.8,6464.3,100
7,52.89,0.07,195,11351.34,5.54,100
8,52.9,0.0,195,11352.88,5.54,100
9,52.72,1.47,501930,15316.84,14270.26,100
10,52.88,0.5,195,15318.38,5.54,100
11,52.41,2.97,797550,21616.98,22674.96,100
12,52.48,2.69,264030,23702.14,7506.58,100
13,52.86,0.14,0,23702.14,0.0,100
14,52.76,0.89,56160,24145.66,1596.67,100
15,52.76,0.83,41730,24475.22,1186.42,100
16,52.78,0.85,50895,24877.16,1446.98,100
17,52.75,0.93,75465,25473.14,2145.53,100
18,52.74,0.98,0,25473.14,0.0,100
19,52.75,1.01,96720,26236.98,2749.82,100
20,52.82,0.51,195,26238.52,5.54,100
21,52.68,1.61,181155,27669.18,5150.38,100
22,52.65,1.51,2340,27687.66,66.53,100
23,52.67,1.42,73125,28265.16,2079.0,100
24,52.72,1.12,117195,29190.7,3331.94,100
25,52.64,1.89,569985,33692.12,16205.12,100
26,52.44,2.76,449280,37240.28,12773.38,100
27,52.71,1.05,54210,37668.4,1541.24,100
28,52.71,1.02,40170,37985.64,1142.06,100
29,52.72,1.1,67080,38515.4,1907.14,100
30,52.79,0.59,195,38516.94,5.54,100
31,52.8,0.61,195,38518.48,5.54,100
32,52.71,1.33,49140,38906.56,1397.08,100
33,52.56,1.98,268320,41025.6,7628.54,100
34,52.59,1.77,156975,42265.3,4462.92,100
35,52.59,1.8,165165,43569.68,4695.76,100
36,52.54,2.03,303225,45964.38,8620.92,100
37,52.53,2.0,276315,48146.55,7855.85,100
38,52.66,1.35,5655,48191.21,160.78,100
39,52.69,1.27,100230,48982.77,2849.61,100
