Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.71,1.26,179985,1421.42,5117.11,100
2,52.81,0.7,7020,1476.86,199.58,100
3,52.61,1.99,59670,1948.1,1696.46,100
4,52.7,1.56,154830,3170.86,4401.94,100
5,52.86,0.6,87945,3865.4,2500.34,100
6,52.87,0.34,195,3866.94,5.54,100
7,52.78,0.87,56550,4313.54,1607.76,100
8,52.77,0.93,83070,4969.58,2361.74,100
9,52.78,0.98,110955,5845.84,3154.54,100
10,52.75,0.97,11700,5938.24,332.64,100
11,52.67,1.52,167115,7258.02,4751.21,100
12,52.78,0.87,19890,7415.1,565.49,100
13,52.79,0.78,25155,7613.76,715.18,100
14,52.78,0.82,43095,7954.1,1225.22,100
15,52.76,1.09,95940,8711.78,2727.65,100
16,52.68,1.5,132990,9762.06,3781.01,100
17,52.77,0.88,50895,10164.0,1446.99,100
18,52.82,0.71,195,10165.54,5.54,100
19,52.81,0.69,195,10167.08,5.54,100
20,52.8,0.84,36855,10458.14,1047.81,100
21,52.77,0.95,84630,11126.5,2406.1,100
22,52.78,0.96,0,11126.5,0.0,100
23,52.77,0.94,81705,11771.76,2322.94,100
24,52.77,0.92,73320,12350.8,2084.54,100
25,52.76,0.93,77220,12960.64,2195.42,100
26,52.75,0.96,46995,13331.78,1336.1,100
27,52.75,0.98,0,13331.78,0.0,100
28,52.76,0.94,76830,13938.54,2184.34,100
29,52.78,0.9,51480,14345.1,1463.61,100
30,52.78,0.88,61035,14827.12,1735.27,100
31,52.79,0.89,65325,15343.02,1857.24,100
32,52.77,0.96,94185,16086.84,2677.75,100
33,52.53,2.41,540150,20352.64,15356.88,100
34,52.56,2.17,339300,23032.24,9646.56,100
35,52.61,1.76,122655,24000.9,3487.18,100
36,52.67,1.42,150345,25188.24,4274.42,100
37,52.65,1.52,6825,25242.14,194.04,100
38,52.81,0.56,247845,27199.48,7046.42,100
39,52.43,2.85,977340,34917.96,27786.52,100
40,52.44,2.69,373620,37868.6,10622.31,100
