Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.8,0.62,104130,822.36,2960.5,100
2,52.69,1.58,569595,5320.7,16194.03,100
3,52.42,3.0,1033500,13482.7,29383.2,100
4,52.4,3.08,1020240,21539.98,29006.21,100
5,52.42,2.88,983580,29307.74,27963.94,100
6,52.48,2.47,672165,34616.12,19110.17,100
7,52.53,2.1,412815,37876.3,11736.65,100
8,52.57,1.8,192465,39396.28,5471.93,100
9,52.61,1.7,138255,40488.14,3930.69,100
10,52.6,1.7,129870,41513.78,3692.31,100
11,52.78,0.66,62595,42008.12,1779.62,100
12,52.71,1.04,71760,42574.84,2040.19,100
13,52.72,1.04,63375,43075.34,1801.8,100
14,52.72,1.11,146445,44231.88,4163.54,100
15,52.61,1.73,132795,45280.62,3775.46,100
16,52.61,1.62,109980,46149.18,3126.81,100
17,52.76,0.81,19500,46303.18,554.4,100
18,52.64,1.54,110175,47173.28,3132.37,100
19,52.64,1.5,96720,47937.12,2749.82,100
20,52.66,1.41,71955,48505.38,2045.74,100
21,52.77,0.76,195,48506.92,5.54,100
22,52.76,0.83,32370,48762.56,920.31,100
23,52.51,1.34,507000,52766.56,14414.4,100
24,52.59,2.34,257010,54796.28,7306.99,100
25,52.64,1.46,81510,55440.0,2317.39,100
26,52.65,1.41,88140,56136.07,2505.88,100
27,52.64,1.43,92625,56867.57,2633.4,100
28,52.64,1.45,84630,57535.93,2406.09,100
29,52.83,0.4,63765,58039.51,1812.88,100
30,52.74,0.85,9555,58114.97,271.66,100
31,52.73,0.9,110760,58989.69,3148.99,100
32,52.63,1.5,96330,59750.45,2738.74,100
33,52.63,1.49,92820,60483.49,2638.94,100
34,52.65,1.44,93600,61222.69,2661.12,100
35,52.64,1.38,79950,61854.09,2273.03,100
36,52.8,0.53,585,61858.71,16.64,100
37,52.79,0.62,195,61860.25,5.54,100
38,52.73,0.97,45630,62220.61,1297.29,100
39,52.73,0.97,41340,62547.09,1175.33,100
40,52.79,0.71,390,62550.17,11.08,100
