Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.94,0.0,0,0.0,0.0,100
2,50.69,14.54,2174835,17175.62,61832.23,100
3,51.0,12.35,1942395,32515.56,55223.78,100
4,51.73,6.88,1909635,47596.78,54292.39,100
5,51.45,9.35,1976715,63207.76,56199.53,100
6,51.95,6.28,858390,69986.84,24404.68,100
7,52.53,1.67,125580,70978.59,3570.33,100
8,52.49,2.05,119535,71922.62,3398.48,100
9,52.64,1.22,20670,72085.86,587.67,100
10,52.46,2.27,200460,73668.98,5699.22,100
11,52.48,2.18,560040,78091.86,15922.38,100
12,52.68,1.78,625170,83029.1,17774.07,100
13,52.25,3.76,542880,87316.46,15434.49,100
14,52.39,2.6,851565,94041.64,24210.65,100
15,52.13,4.13,894270,101104.08,25424.78,100
16,52.3,2.95,367380,104005.44,10444.89,100
17,52.31,2.83,307515,106434.02,8742.88,100
18,52.36,2.64,149175,107612.12,4241.17,100
19,52.37,2.57,119145,108553.05,3387.38,100
20,52.38,2.51,63960,109058.17,1818.42,100
21,52.78,0.44,195,109059.71,5.54,100
22,52.8,0.0,274560,111228.03,7805.95,100
23,52.81,0.47,390,111231.11,11.08,100
24,52.83,0.0,195,111232.65,5.54,100
25,52.83,0.0,195,111234.19,5.54,100
26,52.83,0.0,390,111237.27,11.08,100
27,51.75,6.96,1172535,120497.29,33336.09,100
28,51.92,5.62,1573455,132923.55,44734.53,100
29,52.2,3.83,1505595,144813.89,42805.24,100
30,52.13,4.12,1528020,156881.33,43442.77,100
31,52.34,2.76,531765,161080.91,15118.48,100
32,52.61,1.15,264810,163172.22,7528.73,100
33,52.39,3.25,765765,169219.8,21771.28,100
34,52.08,4.38,1336920,179778.03,38009.64,100
35,52.23,3.4,384735,182816.45,10938.32,100
36,52.42,2.12,80340,183450.94,2284.14,100
37,52.53,1.71,36660,183740.45,1042.26,100
