Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,52.67,1.38,457665,3614.38,13011.77,100
2,52.67,1.37,106470,4455.22,3027.02,100
3,52.68,1.22,87555,5146.68,2489.26,100
4,52.69,1.15,62400,5639.48,1774.08,100
5,52.68,1.16,59085,6106.1,1679.83,100
6,52.8,0.64,195,6107.64,5.54,100
7,52.78,0.67,0,6107.64,0.0,100
8,52.78,0.67,195,6109.18,5.54,100
9,52.79,0.74,2145,6126.12,60.98,100
10,52.76,0.82,40755,6447.98,1158.7,100
11,52.76,0.88,63960,6953.1,1818.43,100
12,52.76,0.91,70395,7509.04,2001.38,100
13,52.83,0.46,195,7510.58,5.54,100
14,52.83,0.48,0,7510.58,0.0,100
15,52.54,2.34,497640,11440.66,14148.29,100
16,52.67,1.46,142740,12567.94,4058.21,100
17,52.75,0.9,53040,12986.82,1507.97,100
18,52.72,1.23,113100,13880.02,3215.52,100
19,52.83,0.49,0,13880.02,0.0,100
20,52.89,0.2,195,13881.56,5.54,100
21,52.85,0.45,195,13883.1,5.54,100
22,52.84,0.43,195,13884.64,5.54,100
23,52.84,0.5,0,13884.64,0.0,100
24,52.8,0.73,79950,14516.04,2273.04,100
25,52.61,1.93,530790,18707.92,15090.77,100
26,52.61,1.83,204360,20321.84,5810.11,100
27,52.65,1.64,89700,21030.24,2550.24,100
28,52.65,1.53,150345,22217.58,4274.42,100
29,52.67,1.43,143325,23349.48,4074.84,100
30,52.67,1.41,133770,24405.92,3803.18,100
31,52.68,1.38,113295,25300.66,3221.06,100
32,52.69,1.28,98280,26076.82,2794.18,100
33,52.71,1.18,78780,26698.98,2239.78,100
34,52.7,1.18,73125,27276.48,2079.0,100
35,52.7,1.21,93990,28018.76,2672.21,100
36,52.71,1.19,72150,28588.56,2051.28,100
37,52.76,0.93,195,28590.1,5.54,100
38,52.79,0.6,195,28591.64,5.54,100
39,52.79,0.68,5265,28633.22,149.69,100
40,52.77,0.81,13455,28739.48,382.54,100
